population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,77,Cyprus,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,7.581258600096356,10.441463800759324,5.56838242491321
1,All Population,1,Deaths,56,Eastern Europe,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2002,74.48596192508234,78.06220914510075,70.94772399484972
1,All Population,1,Deaths,74,Andorra,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2001,13.521698126966879,17.430272318755666,10.30469905508988
1,All Population,1,Deaths,87,Luxembourg,3,Both,22,All ages,973,Substance use disorders,3,Rate,2001,8.07974057775108,9.143795276523367,7.202031541621305
1,All Population,1,Deaths,44,Bosnia and Herzegovina,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,3.81908046110316,5.681137330252069,2.4249864867261435
1,All Population,1,Deaths,86,Italy,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,1.9408071778120253,2.3337553631729735,1.622026298664581
1,All Population,1,Deaths,54,Slovakia,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,18.65225580697552,21.570864158846447,16.4381983525508
1,All Population,1,Deaths,55,Slovenia,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,31.7468212969379,33.75459827838726,29.54542483096112
1,All Population,1,Deaths,90,Norway,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,14.483478169779044,15.85938317033105,13.277741844328187
1,All Population,1,Deaths,78,Denmark,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,18.38729385909726,19.69972453196152,17.192339918041686
1,All Population,1,Deaths,59,Latvia,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,48.7285491972662,51.51860226545398,45.936636098691125
1,All Population,1,Deaths,60,Lithuania,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,59.05341000222407,61.680249553050764,56.834417242099356
1,All Population,1,Deaths,81,Germany,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,8.920152223618606,9.36174173226967,8.442249465870253
1,All Population,1,Deaths,91,Portugal,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,2000,15.895407440696875,17.19546935959498,14.78498228929246
1,All Population,1,Deaths,82,Greece,3,Both,22,All ages,973,Substance use disorders,3,Rate,2000,2.9859602332591506,3.3367145555972026,2.673308195676458
